,titulos,empresa,todas_salario,todos_local,url
0,Analista de Dados,APE SMART TEC,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/24394457/?origem_apply=busca-de-vagas&entrada_apply=direto
1,Analista de Dados Pleno,J&T Express Brazil Ltda,"De R$ 5.001,00 a R$ 6.000,00",São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-pleno/24393005/?origem_apply=busca-de-vagas&entrada_apply=direto
2,Analista de Dados,Engenharia,"De R$ 3.001,00 a R$ 4.000,00",Belo Horizonte - MG (1),https://www.catho.com.br/vagas/analista-de-dados/24381166/?origem_apply=busca-de-vagas&entrada_apply=direto
3,Analista de Dados,INVESTIDOR SARDINHA,A Combinar,Goiania - GO (1),https://www.catho.com.br/vagas/analista-de-dados/24173852/?origem_apply=busca-de-vagas&entrada_apply=direto
4,Analista de Dados,BEST TALENTS,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/24045989/?origem_apply=busca-de-vagas&entrada_apply=direto
5,ANALISTA DE DADOS,RODOBENS,A Combinar,São José do Rio Preto - SP (1),https://www.catho.com.br/vagas/analista-de-dados/24015239/?origem_apply=busca-de-vagas&entrada_apply=direto
6,Analista de Dados,300 FRANCHISING,A Combinar,Joinville - SC (1),https://www.catho.com.br/vagas/analista-de-dados/24014224/?origem_apply=busca-de-vagas&entrada_apply=direto
7,Analista de dados,J&T EXPRESS BRASIL,A Combinar,Florianópolis - SC (1),https://www.catho.com.br/vagas/analista-de-dados/23458140/?origem_apply=busca-de-vagas&entrada_apply=direto
8,Analista de Dados,BRIVIA,A Combinar,Rio de Janeiro - RJ (1),https://www.catho.com.br/vagas/analista-de-dados/18819365/?origem_apply=busca-de-vagas&entrada_apply=direto
9,ANALISTA DE DADOS - PLENO,Aqui + Valor Negocio Promocoes e Intermediacoes LTDA,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-pleno/24378772/?origem_apply=busca-de-vagas&entrada_apply=direto
10,Analista de Dados BI,Empresa ConfidencialPor que?,A Combinar,Barueri - SP (1),https://www.catho.com.br/vagas/analista-de-dados-bi/24381437/?origem_apply=busca-de-vagas&entrada_apply=direto
11,ANALISTA DE GOVERNANÇA DE DADOS SR,UNIMED NACIONAL,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-governanca-de-dados-sr/24437130/?origem_apply=busca-de-vagas&entrada_apply=direto
12,ANALISTA DE DADOS PL,COGNA EDUCAÇÃO,A Combinar,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-pl/24253396/?origem_apply=busca-de-vagas&entrada_apply=direto
13,Analista De Dados | Ciência de Dados,UNIFIQUE TELECOMUNICAÇÕES,A Combinar,Timbo - SC (1),https://www.catho.com.br/vagas/analista-de-dados-ciencia-de-dados/24081245/?origem_apply=busca-de-vagas&entrada_apply=direto
14,Analista de Dados SR,INSTITUTO GERANDO FALCOES,A Combinar,Poa - SP (1),https://www.catho.com.br/vagas/analista-de-dados-sr/24171450/?origem_apply=busca-de-vagas&entrada_apply=direto
