,titulos,empresa,todas_salario,todos_local,url,job_description,paragrafos,Cidade,Estado
0,Analista de Dados,APE SMART TEC,,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/24394457/?origem_apply=busca-de-vagas&entrada_apply=direto,"Estamos procurando um Analista de Dados para controlar as planilhas, o processamento e a organização dos dados nas mais diversas áreas da empresa.

Você será a pessoa indicada para analisar dados quantitativos e organizar dados não estruturados, transformando-os em informações relevantes que embasarão o processo de tomada de decisão. Para fazer bem este trabalho, estamos buscando um perfil que tenha pensamento analítico e seja capaz de automatizar demandas.

 Conhecimento de estatística e experiência no uso de pacotes estatísticos para análise de conjunto de dados (Excel, SPSS, SAS etc.)
Experiência anterior em tratamento de dados.
Profundo conhecimento e experiência com pacotes de elaboração de relatórios (BusinessObjects etc.), bancos de dados (SQL etc.), programação (XML, JavaScript, ou estruturas ETL)","Tíquete Refeição, Tíquete Alimentação, Vale Transporte 5x2 CLT (Efetivo) Apê Smart Studios não é um hotel, somos a sua locação inteligente. Os Studios Apê é para você que quer se hospedar ou morar nas melhores regiões de São Paulo. A experiência é surpreendente, com conceito Luxo acessível onde você tem conforto, design, e muitas facilidades sem pagar preços exorbitantes. Cadastre-se gratuitamente para ver mais informações da empresa.  ",São Paulo , SP 
1,Analista de Dados Pleno,J&T Express Brazil Ltda,5500.5,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-pleno/24393005/?origem_apply=busca-de-vagas&entrada_apply=direto,""" Elaboração, automação de processos manuais e desenvolvimento de relatórios e dashboards gerenciais, usando ETL e modelagem de dados, Linguagem SQL e Python e construindo visões através do Power BI. Responsável pela consistência, melhoria e atualização dos relatórios gerados para todos os clientes; Criar, documentar e implantar novos cruzamentos e visões relevantes de análise na base de dados; Fornecer os dados necessários para confecção de relatórios, análises e discussões relevantes para os projetos; Estruturar novas tabelas e visões Power BI; Manipulação de dados, utilização de SQL para consulta em banco de Dados, validação de Dados/KPI's, documentação de projetos além de suporte a área de negócios. Desenvolvimento de Dashboard com o Power BI (usando linguagem DAX e M) Garantir que os padrões de segurança da informação estejam sendo seguidos internamente e externamente; "" Vivência com Business Intelligence (Pleno Experiência com Linguagem SQL Experiência com linguagem PYTHON Análises e estudos com insights e direcionamentos estratégicos. Apresentações executivas com conclusões das análises e estudos. Planejar e implementar regras e ações de políticas de relacionamento com o cliente. Acompanhar indicadores de performance das ações realizadas e fazer report. Ensino superior completo; Power BI (Intermediário) vivência na área de Dados/ Business Intelligence Pacote Office avançado (principalmente Excel);","Assistência Médica / Medicina em grupo, Assistência Odontológica, Convênio com Farmácia, Seguro de Vida em Grupo, Tíquete Refeição, Tíquete Alimentação, Vale Transporte Seg a quinta 08h às 18h Sexta das 8h às 17h CLT (Efetivo) 1 dia presencial 4 home office Cadastre-se gratuitamente para ver mais informações da empresa.  ",São Paulo , SP 
2,Analista de Dados,Engenharia,3500.5,Belo Horizonte - MG (1),https://www.catho.com.br/vagas/analista-de-dados/24381166/?origem_apply=busca-de-vagas&entrada_apply=direto,"Extração de dados. Construção e análise de indicadores da área de Cobrança. Criação de relatórios detalhados para apresentação dos dados à Diretoria. Identificar novas oportunidades de melhoria / aprimoramento nos processos de cobrança e arrecadação, por meio de orientação e análise, tendo como base indicadores.","Assistência Médica / Medicina em grupo, Assistência Odontológica, Seguro de Vida em Grupo, Tíquete Refeição, Vale Transporte, Participação nos lucros CLT (Efetivo) Cadastre-se gratuitamente para ver mais informações da empresa.  ",Belo Horizonte , MG 
3,Analista de Dados,INVESTIDOR SARDINHA,,Goiania - GO (1),https://www.catho.com.br/vagas/analista-de-dados/24173852/?origem_apply=busca-de-vagas&entrada_apply=direto,"Estamos em busca de uma pessoa extraordinária, dinâmica e analítica. Como nosso Analista de Dados, você será responsável pela coleta e apresentação de dados. Deverá coletar os dados de nossos sites, páginas, ferramentas, apresentar esses e outros dados em dashboards para fácil visualização do time. Também ficará responsável pelo acompanhamento dos dados.Se identificou e curtiu? Vem fazer parte do nosso time! ? ???? Seu dia a dia: Criar estratégia de coleta de dados;Criar scripts de Java Script que peguem os dados nos sites;Armazenamento dos dados e tratamento em banco de dados e Google Sheets;Realizar processamento e exploração de dados;Trabalhará na construção e manutenção de dashboards para acompanhamento de métricas importantes para o negócio;Você estará em contato com todas as áreas da empresa, realizará levantamentos estudos para tomada de decisão;Trabalhará com obtenção de dados de diferentes fontes;Atuação com outros especialistas para construção de ferramentas de predição, com utilização de machine learning. Requisitos e Qualificações:Conhecimento intermediário em JavaScript e Python;Conhecimento da biblioteca de Python: Pandas.Conhecimento de Data Studio ou Power BI;Conhecimento de Google Sheets;Experiência com dashboards;Base matemática, estatística e conceitos gerais de programação/ algoritmos.Ser organizado, dinâmico e responsável.Serão considerados diferenciais competitivos:Conhecimento de UTMs;Conhecimento de Tag Manager;Conhecimento de BigQuery.",CLT (Efetivo) Contratação CLT;Vaga presencial em Goiânia;Salário compatível com o mercado;Vale Refeição/Alimentação;Vale Mobilidade;Vale Saúde;Seguro de Vida;Horário Flexível;Day Off;Acesso Gratuito às nossas plataformas. Cadastre-se gratuitamente para ver mais informações da empresa.  ,Goiania , GO 
4,Analista de Dados,BEST TALENTS,,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados/24045989/?origem_apply=busca-de-vagas&entrada_apply=direto,"Empresa de Logística contrata Analista de Dados e Precificação Jr. - Tratar dados, transformando base histórica de pedidos em analise de demanda futura por geolocalização, extraindo a partir dai a necessidade de espaço de estoque, mão de obra de processamento e dimensionamento de veículos por região. - Identificar oportunidades para otimizar preços e margens; - Realizar análises de sensibilidade de preço e demanda; - Coletar e analisar dados sobre preços e desempenho de vendas e monitorar a concorrência e as tendências de mercado em relação aos preços; - Mapeamento de potencial de mercado por região e canal de venda; - Responsável por a criação de KPIs e dashboard semanal das áreas comerciais para acompanhar os resultados e poder tomar decisões para correção; - Sugerir melhorias para as áreas estratégicas da empresa; - Gerir a qualidade dos dados, das integrações e a consistência de relatórios; - Criar e desenvolver relatórios gerenciais, acompanhando os resultados e fornecendo as informações para as áreas de negócios; - Ter compreensão completa dos objetivos de negócio para extração de dados relevantes. - Graduação em Administração, logística ou áreas correlatadas;- Excel Avançado, capacidade de aplicar Pivot table, planilhas dinâmicas precificação dinâmica;- Experiência em precificação de Logística de armazenagem e transporte, seja para estruturação dedicada ou compartilhada.- Conhecimento sólido em Power BI;- Conhecimento avançado em técnicas de pesquisa de mercado, análise de dados e uso de ferramentas de inteligência de mercado;- Habilidades analíticas e capacidade de interpretar dados complexos;- Excelente habilidade de comunicação oral e escrita, com facilidade para elaborar relatórios claros e concisos.","Prestador de serviços (PJ) Horário de Trabalho: De segunda a sexta, das 09:00 às 18:00.Local de Trabalho: Moema / SPSalário: R$ 3.000,00 + R$ 500,00 de Ajuda de CustoContratação: PJ - Cnae Logística ou transporte Cadastre-se gratuitamente para ver mais informações da empresa.  ",São Paulo , SP 
5,ANALISTA DE DADOS,RODOBENS,,São José do Rio Preto - SP (1),https://www.catho.com.br/vagas/analista-de-dados/24015239/?origem_apply=busca-de-vagas&entrada_apply=direto,"Você tem experiência em atendimento com banco de dados e elaboração de relatórios? É comunicativo, proativo, organizado e focado?Buscamos pessoas dinâmicas, proativas, articuladas e que gostem da área de Dados! Elaboração de relatórios gerenciais;Análise de indicadores de performance e de resultados;Desenvolver sistema de coleta;Estruturar e interpretar dados para análises estatísticas e outras estratégias que otimizem a eficiência e a qualidade da informação. Necessário conhecimento em:SQL;Power BI;Linguagem R;Banco de Dados.",CLT (Efetivo) Oferecemos:Salário fixo;Ticket;Convênio médico;Convênio odontológico;Convênio rede Univers;PPR;Credencial Plena do SESC;Assistência Psicológica;Seguro de Vida. Cadastre-se gratuitamente para ver mais informações da empresa.  ,São José do Rio Preto , SP 
6,Analista de Dados,300 FRANCHISING,,Joinville - SC (1),https://www.catho.com.br/vagas/analista-de-dados/24014224/?origem_apply=busca-de-vagas&entrada_apply=direto,"A pessoa Analista de Dados, se juntará ao nosso time de CRM para extrair e organizar dados de diversas fontes. Será responsável pela padronização das informações além da construção de painéis e dashboards para análise.
Responsabilidades e Atribuições

Analista de Dados irá coletar, organizar e analisar dados de diferentes fontes (principalmente CRM);
Extrair e coletar dados de várias fontes, garantindo a integridade e precisão dos dados obtidos;
Padronizar as informações, organizando e estruturando o banco de dados para facilitar a análise;
Analisar a consistência de dados não estruturados, cruzando múltiplas fontes de dados;
Construir visualizações analíticas e sintéticas de informações;
Construir Dashboards para area Comercial/Marketing;
Construir Relatórios e Painéis no CRM (Hubspot).

Requisitos e Qualificações
Hard Skills

Conhecimento de consultas SQL, SQL Server Reporting Services (SSRS) e SQL Server Integration Services (SSIS);
Conhecimento em POSTGRESQL;
Será considerado um diferencial Conhecimento PowerBI e Looker(DataStudio);
Conhecimento em CRM e em ERP será um diferencial;
Sólido conhecimento em Excel (PROCV, Somase, tabela dinâmica e SE).

Soft Skills

Proatividade;
Inovação;
Mente analítica;
Visão Sistêmica;
Análise e solução de problemas;
Resiliência;
Relacionamento Interpessoal;
Mindset Ágil;
Flexibilidade Cognitiva;

Outras informações

Local de Trabalho: Joinville - SC
Modelo de Trabalho: Presencial
Regime de Trabalho: CLT

Se você é apaixonado pela análise e construção de dados e crê que o seu trabalho e esforço são diferenciais para o desenvolvimento da inteligência necessária para construirmos resultados exponenciais, nós estamos ansiosos para conhecer você! Não perca tempo e inscreva-se agora! CRM, Microsoft Excel",Cadastre-se gratuitamente para ver mais informações da empresa.  ,Joinville , SC 
7,Analista de dados,J&T EXPRESS BRASIL,,Florianópolis - SC (1),https://www.catho.com.br/vagas/analista-de-dados/23458140/?origem_apply=busca-de-vagas&entrada_apply=direto,"• Profissional responsável pela análise e acompanhamento de dados referentes às marcas do COB e de seus patrocinadores e parceiros, de forma a realizar a mensuração do retorno do…","Total de anúncios: 404 COB GRUPO GPS SANTA CRUZ 300 FRANCHISING INFOVAGAS Adecco J&T EXPRESS BRASIL CECRED J&T EXPRESS BRASIL APE SMART TEC HOSPITAL E MATERNIDADE SANTA JOANA Empresa ConfidencialPor que? Engenharia Empresa ConfidencialPor que? FUNDAÇÃO ZERRENNER Quer saber mais? Confira tudo sobre o cargo de Analista de Dados - O que faz, salário e carreira. ",Florianópolis , SC 
8,Analista de Dados,BRIVIA,,Rio de Janeiro - RJ (1),https://www.catho.com.br/vagas/analista-de-dados/18819365/?origem_apply=busca-de-vagas&entrada_apply=direto,"Vaga para nosso BANCO DE TALENTOSSomos inquietos, somos desbravadores e estamos em constante transformação.Por isso, estamos na busca constante de crescimentos do nosso time com profissionais inovadores, que desafiam os limites e estejam preparados para embarcar em uma cultura totalmente nômade.SOMOS NÔMADES, NOSSAS VAGAS SÃO PARA QUALQUER LUGAR!Seja qual for o seu gênero, orientação sexual, idade, raça, etnia, crença ou deficiência, todos são bem-vindos no nosso time. O analista de dados é responsável por realizar a verificação de cenários e o diagnósticos de marcas nos canais digitais a partir de dados e do monitoramento. É responsável por traduzir os dados em análises, fatos e insights que servem de insumos e orientação para os demais times envolvidos. Identifica padrões de comportamento, necessidades e expectativas, percepções de públicos, identificação de oportunidades de comunicação e de negócio. Ter habilidades analíticas;Tenha conhecimento no pacote office;Graduado em Comunicação Social, Publicidade ou Administração;Domínio de redes sociais e canais digitais;Conhecimento em softwares de métricas;Domínio de Google Analytics;Conhecimento em ferramentas de monitoramento;Muita vontade para desbravar.Diferenciais:Conhecimento em Data Studio;Conhecimento em Google Tag Manager.","CLT (Efetivo) Os desbravadores tem:Horário flexível, aqui você é responsável por se organizar;Cultura ágil, aqui todos os desbravadores utilizam metodologias ágeis no dia a dia;No dress code, seja 100% você;Vale transporte;Vale refeição ou alimentação FLEX;Plano odontológico Bradesco;Plano de saúde Bradesco;Seguro de vida Metlife;Bem estar psicológico gratuito;Brivia Academy, treinamentos para aperfeiçoamento;Auxílio em cursos qualificação profissional;Bônus salarial;Programa de desenvolvimento de idiomas;Parceria e descontos em Universidades;Associação e descontos na ABRADI;E o melhor de todos: trabalhe de onde você quiser, somos nômades e estamos 100% em home office! Cadastre-se gratuitamente para ver mais informações da empresa.  ",Rio de Janeiro , RJ 
9,ANALISTA DE DADOS - PLENO,Aqui + Valor Negocio Promocoes e Intermediacoes LTDA,,São Paulo - SP (1),https://www.catho.com.br/vagas/analista-de-dados-pleno/24378772/?origem_apply=busca-de-vagas&entrada_apply=direto,"Estamos à procura de um Analista de Dados Pleno dedicado e apaixonado por números, análise de dados e resolução de problemas.
Atividades:

Coletar, limpar e organizar dados brutos de várias fontes para análise
Realizar análises exploratórias de dados para identificar tendências, padrões e anomalias
Desenvolver modelos e algoritmos de análise de dados para apoiar a tomada de decisões.
Criar visualizações de dados claras e eficazes para comunicar insights de forma compreensível.
Colaborar com outras equipes para entender suas necessidades de dados e fornecer soluções analíticas.
Participar na elaboração de relatórios e apresentações executivas com resultados das análises.

Requisitos:

Bacharelado em Estatística, Matemática, Ciência da Computação, Engenharia ou área relacionada.
Experiência em análise de dados.
Conhecimento avançado de ferramentas de análise de dados.
Experiência com ferramentas de visualização de dados, como Tableau, Power BI ou equivalentes.",Cadastre-se gratuitamente para ver mais informações da empresa.  ,São Paulo , SP 
